source,target,value
0,7,9.48
1,7,11.94
2,7,0.2
3,7,0.07
4,8,8.13
5,8,7.35
6,8,0.18
7,8,21.69
8,9,22.6
8,10,14.74
10,11,0.7
10,12,14.04
12,14,0.77
12,15,13.41
13,15,0.13
15,16,5.04
15,17,4.52
15,18,3.37
15,19,0.02
15,20,0.46
