labels
coal
natural gas
petroleum
other gases
nuclear electric power
renewable energy
other
fossil fuels
energy system
conversion loss
gross generation of electricity
plant use
net generation of electricity
net imports of electricity
T&D losses and unaccounted for
end user
residential
commercial
industrial
transportation
direct use
